participant_id,age,sex
sub-0001,22.0,female
sub-0002,21.75,female
sub-0003,25.25,female
sub-0004,22.5,female
sub-0005,22.25,male
sub-0006,24.75,female
sub-0007,20.25,male
sub-0008,20.5,female
sub-0009,26.0,male
sub-0010,22.0,male
sub-0011,25.25,male
sub-0012,20.75,male
sub-0013,23.5,male
sub-0014,21.5,male
sub-0015,22.0,male
sub-0016,20.5,male
sub-0017,24.0,male
sub-0018,20.5,male
sub-0019,22.5,female
sub-0020,20.25,female
sub-0021,22.75,male
sub-0022,23.5,female
sub-0023,24.75,female
sub-0024,23.75,male
sub-0025,23.0,female
sub-0026,20.75,female
sub-0027,23.25,male
sub-0028,24.0,female
sub-0029,25.75,male
sub-0030,22.75,male
sub-0031,24.75,female
sub-0032,23.0,female
sub-0033,25.75,female
sub-0034,23.75,male
sub-0035,21.25,female
sub-0036,20.5,female
sub-0037,24.25,female
sub-0038,20.0,male
sub-0039,22.25,male
sub-0040,25.0,female
sub-0041,24.75,male
sub-0042,23.75,male
sub-0043,25.25,female
sub-0044,22.5,female
sub-0045,20.0,male
sub-0046,20.25,male
sub-0047,21.75,female
sub-0048,21.0,male
sub-0049,23.75,female
sub-0050,22.5,female
sub-0051,23.25,female
sub-0052,22.5,female
sub-0053,21.25,male
sub-0054,21.5,male
sub-0055,22.25,male
sub-0056,20.0,male
sub-0057,24.75,male
sub-0058,24.5,male
sub-0059,24.25,male
sub-0060,24.25,male
sub-0061,25.75,female
sub-0062,20.25,female
sub-0063,23.25,male
sub-0064,22.5,female
sub-0065,20.5,female
sub-0066,23.25,male
sub-0067,21.0,female
sub-0068,20.5,male
sub-0069,23.5,female
sub-0070,23.75,female
sub-0071,21.0,male
sub-0072,21.25,female
sub-0073,20.75,male
sub-0074,24.75,female
sub-0075,23.5,male
sub-0076,25.75,male
sub-0077,25.25,male
sub-0078,20.25,male
sub-0079,24.75,female
sub-0080,20.5,female
sub-0081,21.0,female
sub-0082,25.5,male
sub-0083,24.5,male
sub-0084,20.25,female
sub-0085,22.0,male
sub-0086,22.25,female
sub-0087,22.25,male
sub-0088,24.5,female
sub-0089,24.5,female
sub-0090,22.5,male
sub-0091,20.5,female
sub-0092,22.75,female
sub-0093,21.5,female
sub-0094,22.0,female
sub-0095,20.75,female
sub-0096,20.25,male
sub-0097,22.75,female
sub-0098,21.75,male
sub-0099,23.0,female
sub-0100,25.75,male
sub-0101,22.0,female
sub-0102,25.25,male
sub-0103,25.0,female
